,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,0,0,0,0,0,0,0,0,96,96
1,0,0,0,0,0,0,0,0,96,96
2,0,0,0,0,0,0,0,0,96,96
3,0,0,0,0,0,0,0,0,96,96
4,0,0,0,0,0,0,0,0,96,96
5,0,0,0,0,0,0,0,0,96,96
6,0,0,0,0,0,0,0,0,96,96
7,0,0,0,0,0,0,0,0,96,96
8,0,0,0,0,0,0,0,0,96,96
9,0,0,0,0,0,0,0,0,96,96
10,0,0,0,0,0,0,0,0,96,96
11,0,0,0,0,0,0,0,0,96,96
12,0,0,0,0,0,0,0,0,96,96
13,0,0,0,0,0,0,0,0,96,96
14,0,0,0,0,0,0,0,0,96,96
15,0,0,0,0,0,0,0,0,96,96
16,0,0,0,0,0,0,0,0,96,96
17,0,0,0,0,0,0,0,0,96,96
18,0,0,0,0,0,0,0,0,96,96
19,0,0,0,0,0,0,0,0,96,96
20,0,0,0,0,0,0,0,0,96,96
21,0,0,0,0,0,0,0,0,96,96
22,0,0,0,0,0,0,0,0,96,96
23,0,0,0,0,0,0,0,0,96,96
24,0,0,0,0,0,0,0,0,96,96
25,0,0,0,0,0,0,0,0,96,96
26,0,0,0,0,0,0,0,0,96,96
27,0,0,0,0,0,0,0,0,96,96
28,0,0,0,0,0,0,0,0,96,96
29,0,0,0,0,0,0,0,0,96,96
30,0,0,0,0,0,0,0,0,96,96
31,0,0,0,0,0,0,0,0,96,96
32,0,0,0,0,0,0,0,0,96,96
33,0,0,0,0,0,0,0,0,96,96
34,0,0,0,0,0,0,0,0,96,96
35,0,0,0,0,0,0,0,0,96,96
36,0,0,0,0,0,0,0,0,96,96
37,0,0,0,0,0,0,0,0,96,96
38,0,0,0,0,0,0,0,0,96,96
39,0,0,0,0,0,0,0,0,96,96
40,0,0,0,0,0,0,0,0,96,96
41,0,0,0,0,0,0,0,0,96,96
42,0,0,0,0,0,0,0,0,96,96
43,0,0,0,0,0,0,0,0,96,96
44,0,0,0,0,0,0,0,0,96,96
45,0,0,0,0,0,0,0,0,96,96
46,0,0,0,0,0,0,0,0,96,96
47,0,0,0,0,0,0,0,0,96,96
48,0,0,0,0,0,0,0,0,96,96
49,0,0,0,0,0,0,0,0,96,96
50,0,0,0,0,0,0,0,0,96,96
51,0,0,0,0,0,0,0,0,96,96
52,0,0,0,0,0,0,0,0,96,96
53,0,0,0,0,0,0,0,0,96,96
54,0,0,0,0,0,0,0,0,96,96
55,0,0,0,0,0,0,0,0,96,96
56,0,0,0,0,0,0,0,0,96,96
57,0,0,0,0,0,0,0,0,96,96
58,0,0,0,0,0,0,0,0,96,96
59,0,0,0,0,0,0,0,0,96,96
60,0,96,0,0,0,0,0,96,0,0
61,0,0,0,0,0,96,96,0,0,0
62,96,0,0,96,0,0,0,0,0,0
63,0,0,0,96,0,96,0,0,0,0
64,0,0,0,0,0,96,96,0,0,0
65,96,0,96,0,0,0,0,0,0,0
66,0,0,0,0,0,96,0,96,0,0
67,0,0,0,0,96,0,0,96,0,0
68,96,0,0,0,0,0,0,96,0,0
69,96,0,0,0,96,0,0,0,0,0
70,0,0,0,96,0,96,0,0,0,0
71,0,96,0,0,0,0,96,0,0,0
72,0,0,0,0,96,0,96,0,0,0
73,96,0,0,0,0,0,96,0,0,0
74,0,0,96,0,0,0,0,96,0,0
75,0,0,0,96,96,0,0,0,0,0
76,0,0,0,96,96,0,0,0,0,0
77,0,0,96,96,0,0,0,0,0,0
78,0,96,0,0,96,0,0,0,0,0
79,0,0,0,0,0,96,96,0,0,0
80,96,96,0,0,0,0,0,0,0,0
81,0,0,0,96,0,0,0,96,0,0
82,0,0,0,0,0,0,96,96,0,0
83,0,96,0,96,0,0,0,0,0,0
84,0,0,0,0,96,96,0,0,0,0
85,0,96,0,0,0,0,0,96,0,0
86,0,0,0,0,96,0,0,96,0,0
87,0,0,96,0,0,96,0,0,0,0
88,0,0,96,96,0,0,0,0,0,0
89,0,0,96,0,0,0,96,0,0,0
90,0,0,0,0,96,0,0,96,0,0
91,0,0,0,0,0,96,96,0,0,0
92,0,96,0,0,0,0,96,0,0,0
93,0,0,96,96,0,0,0,0,0,0
94,0,0,96,0,96,0,0,0,0,0
95,96,0,0,96,0,0,0,0,0,0
96,0,0,0,96,0,0,0,96,0,0
97,0,96,0,96,0,0,0,0,0,0
98,96,0,0,96,0,0,0,0,0,0
99,0,96,0,0,96,0,0,0,0,0
