0,7,0,0,0,7,0,0,7,0
0,3,6,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0,0
0,25,25,0,0,0,0,25,0,0
0,0,21,0,42,0,0,0,0,0
5,0,0,10,0,0,0,0,0,0
0,0,0,2,0,2,2,0,0,0
0,0,0,0,0,46,0,0,46,46
7,7,0,0,0,0,0,7,0,0
13,13,0,13,0,0,0,0,0,0
0,0,30,0,30,0,0,30,0,0
0,0,0,40,0,0,20,0,0,0
7,0,7,0,7,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0
0,0,0,0,0,16,0,16,0,16
0,0,0,58,0,58,0,0,0,58
0,0,0,0,0,0,0,148,0,296
77,77,77,0,0,0,0,0,0,0
0,0,0,4,0,0,0,0,2,0
11,0,11,0,0,0,11,0,0,0
0,0,0,0,0,24,0,24,24,0
0,0,0,0,0,50,0,0,50,50
0,10,20,0,0,0,0,0,0,0
0,8,0,0,0,0,8,8,0,0
0,23,0,0,23,0,23,0,0,0
0,0,0,47,0,0,47,0,47,0
0,38,38,0,0,0,0,0,0,38
0,3,3,0,0,0,0,0,3,0
0,4,0,0,4,4,0,0,0,0
0,3,0,0,0,0,0,0,6,0
