88,114,109,105,100,81,129,82,102,90
112,103,105,98,91,106,95,117,94,79
100,85,116,99,113,97,96,103,88,103
102,126,86,98,89,93,102,96,113,95
97,96,88,99,111,116,68,97,109,119
88,91,107,96,108,113,102,96,102,97
94,91,98,97,108,98,101,93,113,107
91,95,99,90,90,100,116,102,109,108
95,100,101,110,87,105,116,105,86,95
102,110,91,100,91,112,89,110,99,96
107,92,95,115,92,89,113,102,96,99
104,105,88,98,109,80,91,113,106,106
98,96,108,100,102,105,109,93,97,92
95,106,96,94,93,95,98,101,101,121
103,102,90,94,99,99,103,94,116,100
95,106,80,111,105,95,112,105,102,89
98,100,104,106,119,87,87,95,96,108
123,95,99,115,101,113,86,90,82,96
108,94,115,102,104,101,98,95,76,107
108,115,86,96,98,110,107,88,103,89
87,99,105,92,97,105,99,109,106,101
108,96,104,97,93,92,94,106,99,111
88,97,104,104,109,93,94,106,98,107
118,84,97,92,121,102,97,88,95,106
117,85,116,103,94,86,105,80,109,105
103,101,95,106,109,96,109,92,101,88
105,99,91,89,113,86,107,111,111,88
116,109,90,91,105,90,115,83,101,100
99,87,118,108,77,112,105,84,106,104
93,123,93,82,95,110,104,99,99,102
98,126,91,97,81,102,104,95,105,101
96,116,94,87,93,87,87,114,103,123
105,100,107,120,95,99,103,101,85,85
103,99,104,102,97,97,84,94,115,105
104,91,104,90,99,120,99,124,91,78
88,104,98,106,134,87,82,106,97,98
91,101,103,103,99,107,95,101,109,91
109,89,98,108,97,88,111,103,108,89
97,107,96,103,96,105,93,93,105,105
101,108,93,102,93,108,82,103,110,100
99,91,118,108,84,101,91,101,98,109
90,121,93,100,102,114,85,85,104,106
92,99,108,95,115,110,93,102,91,95
97,107,85,105,97,99,90,117,85,118
80,96,110,95,110,101,105,107,107,89
97,91,113,95,96,98,104,125,94,87
106,108,101,99,93,100,120,84,92,97
120,79,102,96,92,103,105,94,96,113
103,66,116,108,97,98,110,114,92,96
82,99,92,94,107,109,110,102,98,107
